Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,
Data,13,record,timestamp,"908894875",s,distance,"12.35",m,altitude,"1098.0",m,speed,"3.462",m/s,unknown,"0",,unknown,"300",,heart_rate,"116",bpm,cadence,"81",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.462",m/s,
Data,13,record,timestamp,"908894876",s,distance,"15.29",m,altitude,"1098.0",m,speed,"2.939",m/s,unknown,"0",,unknown,"300",,heart_rate,"111",bpm,cadence,"82",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"2.939",m/s,
Data,13,record,timestamp,"908894877",s,distance,"18.3",m,altitude,"1098.0",m,speed,"3.004",m/s,unknown,"0",,unknown,"300",,heart_rate,"114",bpm,cadence,"82",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.004",m/s,
Data,13,record,timestamp,"908894878",s,distance,"21.82",m,altitude,"1098.0",m,speed,"3.527",m/s,unknown,"0",,unknown,"300",,heart_rate,"114",bpm,cadence,"83",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.527",m/s,
Data,13,record,timestamp,"908894879",s,distance,"25.43",m,altitude,"1098.0",m,speed,"3.602",m/s,unknown,"0",,unknown,"300",,heart_rate,"115",bpm,cadence,"83",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.602",m/s,
Data,13,record,timestamp,"908894880",s,distance,"29.01",m,altitude,"1098.0",m,speed,"3.583",m/s,unknown,"0",,unknown,"300",,heart_rate,"121",bpm,cadence,"83",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.583",m/s,
Data,13,record,timestamp,"908894881",s,distance,"32.04",m,altitude,"1098.0",m,speed,"3.032",m/s,unknown,"0",,unknown,"300",,heart_rate,"125",bpm,cadence,"83",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.032",m/s,
Data,13,record,timestamp,"908894882",s,distance,"35.13",m,altitude,"1098.0",m,speed,"3.088",m/s,unknown,"0",,unknown,"300",,heart_rate,"128",bpm,cadence,"83",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.088",m/s,
Data,13,record,timestamp,"908894883",s,distance,"38.26",m,altitude,"1098.0",m,speed,"3.126",m/s,unknown,"0",,unknown,"300",,heart_rate,"130",bpm,cadence,"83",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.126",m/s,
Data,13,record,timestamp,"908894884",s,distance,"41.26",m,altitude,"1098.0",m,speed,"3.004",m/s,unknown,"0",,unknown,"300",,heart_rate,"130",bpm,cadence,"83",rpm,fractional_cadence,"0.0",rpm,enhanced_altitude,"1098.0",m,enhanced_speed,"3.004",m/s,
